Transaction_ID,Date,Customer_ID,Region,Product,Quantity,Unit_Price,Unit_Cost
TRX-000079,2023-01-27,CUST-0236,Asia-Pacific,Premium Maintenance,4,692.76,220.0
TRX-000080,2023-01-17,CUST-0236,Asia-Pacific,Basic Support,2,313.19,70.0
TRX-000081,2023-01-16,CUST-0240,Europe,Consulting Service,1,165.75,105.0
TRX-000082,2023-01-26,CUST-0240,Europe,Enterprise License,1,1261.87,350.0
TRX-000083,2023-01-23,CUST-0241,Asia-Pacific,Consulting Service,3,167.61,105.0
TRX-000084,2023-01-22,CUST-0245,Latin America,Enterprise License,6,1258.67,350.0
TRX-000085,2023-01-12,CUST-0245,Latin America,Consulting Service,2,166.98,105.0
TRX-000086,2023-01-12,CUST-0250,Asia-Pacific,Basic Support,1,321.76,70.0
TRX-000087,2023-01-10,CUST-0251,Latin America,Consulting Service,2,184.28,105.0
TRX-000088,2023-01-29,CUST-0251,Latin America,Basic Support,5,290.94,70.0
TRX-000089,2023-01-15,CUST-0254,Asia-Pacific,Enterprise License,2,1193.42,350.0
TRX-000090,2023-01-30,CUST-0257,Europe,Premium Maintenance,4,700.73,220.0
TRX-000091,2023-01-16,CUST-0262,Latin America,Premium Maintenance,4,601.57,220.0
TRX-000092,2023-01-13,CUST-0262,Latin America,Premium Maintenance,6,594.37,220.0
TRX-000093,2023-01-15,CUST-0265,Latin America,Consulting Service,3,166.88,105.0
TRX-000094,2023-01-02,CUST-0267,North America,Premium Maintenance,2,612.24,220.0
TRX-000095,2023-01-31,CUST-0267,North America,Consulting Service,5,177.88,105.0
TRX-000096,2023-01-27,CUST-0271,North America,Enterprise License,6,1132.63,350.0
TRX-000097,2023-01-25,CUST-0276,Asia-Pacific,Basic Support,6,306.19,70.0
TRX-000098,2023-01-28,CUST-0280,Asia-Pacific,Consulting Service,3,179.48,105.0
TRX-000099,2023-01-22,CUST-0281,Europe,Consulting Service,6,186.9,105.0
TRX-000100,2023-01-16,CUST-0281,Europe,Consulting Service,3,191.47,105.0
TRX-000101,2023-01-11,CUST-0287,Asia-Pacific,Consulting Service,6,178.16,105.0
TRX-000102,2023-01-01,CUST-0287,Asia-Pacific,Basic Support,3,275.67,70.0
TRX-000103,2023-01-01,CUST-0290,Asia-Pacific,Basic Support,3,279.59,70.0
TRX-000104,2023-01-06,CUST-0290,Asia-Pacific,Consulting Service,5,162.8,105.0
TRX-000105,2023-01-10,CUST-0293,Latin America,Consulting Service,4,181.39,105.0
TRX-000106,2023-01-22,CUST-0296,North America,Enterprise License,5,1216.89,350.0
TRX-000107,2023-01-15,CUST-0301,Latin America,Premium Maintenance,5,674.09,220.0
TRX-000108,2023-01-30,CUST-0303,Latin America,Consulting Service,4,187.34,105.0
TRX-000109,2023-01-16,CUST-0303,Latin America,Premium Maintenance,6,598.35,220.0
TRX-000110,2023-01-13,CUST-0305,Asia-Pacific,Basic Support,7,305.32,70.0
TRX-000111,2023-01-31,CUST-0306,North America,Consulting Service,6,185.77,105.0
TRX-000112,2023-01-11,CUST-0306,North America,Basic Support,3,276.69,70.0
TRX-000113,2023-01-30,CUST-0306,North America,Enterprise License,4,1247.91,350.0
TRX-000114,2023-01-08,CUST-0307,Latin America,Consulting Service,3,193.68,105.0
TRX-000115,2023-01-25,CUST-0307,Latin America,Enterprise License,2,1098.32,350.0
TRX-000116,2023-01-09,CUST-0307,Latin America,Basic Support,7,313.31,70.0
TRX-000117,2023-01-30,CUST-0309,North America,Enterprise License,1,1160.5,350.0
TRX-000118,2023-01-04,CUST-0309,North America,Consulting Service,6,183.88,105.0
TRX-000119,2023-01-27,CUST-0312,Asia-Pacific,Enterprise License,3,1239.72,350.0
TRX-000120,2023-01-29,CUST-0312,,Premium Maintenance,2,590.73,220.0
TRX-000121,2023-01-30,CUST-0313,North America,Premium Maintenance,4,585.53,220.0
TRX-000122,2023-01-22,CUST-0315,Asia-Pacific,Enterprise License,7,1166.69,350.0
TRX-000123,2023-01-17,CUST-0317,Europe,Enterprise License,3,1264.2,350.0
TRX-000124,2023-01-14,CUST-0319,Latin America,Consulting Service,3,181.13,105.0
TRX-000125,2023-01-09,CUST-0319,Latin America,Enterprise License,7,1271.5,350.0
TRX-000126,2023-01-11,CUST-0320,North America,Basic Support,3,308.75,70.0
TRX-000127,2023-01-10,CUST-0325,Latin America,Basic Support,4,292.03,70.0
TRX-000128,2023-01-06,CUST-0325,Latin America,Enterprise License,7,1204.17,350.0
TRX-000129,2023-01-22,CUST-0325,Latin America,Premium Maintenance,1,654.64,220.0
TRX-000130,2023-01-16,CUST-0332,Europe,Enterprise License,1,1109.02,350.0
TRX-000131,2023-01-11,CUST-0332,Europe,Consulting Service,2,164.18,105.0
TRX-000132,2023-01-28,CUST-0333,Europe,Consulting Service,3,182.56,105.0
TRX-000133,2023-01-16,CUST-0341,Latin America,Premium Maintenance,4,672.98,220.0
TRX-000134,2023-01-18,CUST-0342,Europe,Premium Maintenance,3,612.51,220.0
TRX-000135,2023-01-07,CUST-0349,Europe,Basic Support,5,310.09,70.0
TRX-000136,2023-01-21,CUST-0349,Europe,Basic Support,6,286.17,70.0
TRX-000137,2023-01-05,CUST-0350,North America,Enterprise License,1,1268.85,350.0
TRX-000138,2023-01-25,CUST-0352,Europe,Consulting Service,5,187.4,105.0
TRX-000139,2023-01-31,CUST-0357,Europe,Premium Maintenance,2,663.93,220.0
TRX-000140,2023-01-25,CUST-0358,Latin America,Consulting Service,2,168.0,105.0
TRX-000141,2023-01-14,CUST-0358,Latin America,Basic Support,5,275.5,70.0
TRX-000142,2023-01-05,CUST-0360,Latin America,Basic Support,1,293.38,70.0
TRX-000143,2023-01-30,CUST-0360,Latin America,Premium Maintenance,3,597.05,220.0
TRX-000144,2023-01-18,CUST-0360,Latin America,Enterprise License,1,1133.15,350.0
TRX-000145,2023-01-02,CUST-0373,Europe,Basic Support,1,286.88,70.0
TRX-000146,2023-01-28,CUST-0374,Asia-Pacific,Consulting Service,5,163.96,105.0
TRX-000147,2023-01-08,CUST-0380,Latin America,Consulting Service,3,174.77,105.0
TRX-000148,2023-01-06,CUST-0381,Europe,Enterprise License,1,1266.36,350.0
TRX-000149,2023-01-13,CUST-0382,Europe,Consulting Service,4,172.79,105.0
TRX-000150,2023-01-08,CUST-0386,Europe,Premium Maintenance,3,615.46,220.0
TRX-000151,2023-01-08,CUST-0386,Europe,Basic Support,7,295.91,70.0
TRX-000152,2023-01-11,CUST-0388,Asia-Pacific,Basic Support,4,320.24,70.0
TRX-000153,2023-01-23,CUST-0391,North America,Premium Maintenance,5,602.6,220.0
TRX-000154,2023-01-29,CUST-0392,North America,Enterprise License,7,1082.0,350.0
TRX-000155,2023-01-04,CUST-0395,North America,Enterprise License,4,1213.95,350.0
TRX-000156,2023-01-19,CUST-0396,North America,Enterprise License,4,1263.48,350.0
TRX-000157,2023-01-20,CUST-0400,North America,Basic Support,7,278.79,70.0
TRX-000158,2023-01-10,CUST-0400,North America,Premium Maintenance,2,685.09,220.0
TRX-000159,2023-01-29,CUST-0402,Asia-Pacific,Consulting Service,7,181.55,105.0
TRX-000160,2023-01-12,CUST-0402,Asia-Pacific,Enterprise License,2,1255.64,350.0
TRX-000161,2023-01-19,CUST-0408,Europe,Enterprise License,4,1126.73,350.0
TRX-000162,2023-01-26,CUST-0408,Europe,Consulting Service,1,172.29,105.0
TRX-000163,2023-01-22,CUST-0411,Asia-Pacific,Consulting Service,2,162.62,105.0
TRX-000164,2023-01-26,CUST-0412,Latin America,Basic Support,3,309.88,70.0
TRX-000165,2023-01-28,CUST-0412,Latin America,Enterprise License,2,1208.27,350.0
TRX-000166,2023-01-22,CUST-0419,North America,Basic Support,6,279.34,70.0
TRX-000167,2023-01-01,CUST-0427,Asia-Pacific,Consulting Service,4,162.54,105.0
TRX-000168,2023-01-13,CUST-0427,Asia-Pacific,Premium Maintenance,1,653.4,220.0
TRX-000169,2023-01-28,CUST-0427,Asia-Pacific,Basic Support,3,317.54,70.0
TRX-000170,2023-01-09,CUST-0433,Asia-Pacific,Enterprise License,4,1090.91,350.0
TRX-000171,2023-01-21,CUST-0437,Asia-Pacific,Consulting Service,2,189.09,105.0
TRX-000172,2023-01-08,CUST-0438,North America,Enterprise License,6,1268.76,350.0
TRX-000173,2023-01-18,CUST-0443,Europe,Enterprise License,6,1165.57,350.0
TRX-000174,2023-01-18,CUST-0450,Asia-Pacific,Premium Maintenance,6,673.74,220.0
TRX-000175,2023-01-29,CUST-0450,Asia-Pacific,Premium Maintenance,4,634.05,220.0
TRX-000176,2023-01-14,CUST-0451,North America,Premium Maintenance,3,645.87,220.0
TRX-000177,2023-01-05,CUST-0453,Latin America,Premium Maintenance,5,631.22,220.0
TRX-000178,2023-01-22,CUST-0458,Europe,Premium Maintenance,2,605.88,220.0
TRX-000179,2023-01-11,CUST-0461,Latin America,Premium Maintenance,4,609.82,220.0
TRX-000180,2023-01-23,CUST-0461,Latin America,Premium Maintenance,5,687.77,220.0
TRX-000181,2023-01-23,CUST-0463,Europe,Enterprise License,4,1237.93,350.0
TRX-000182,2023-01-04,CUST-0467,Latin America,Consulting Service,5,191.29,105.0
TRX-000183,2023-01-04,CUST-0469,Latin America,Basic Support,4,281.04,70.0
TRX-000184,2023-01-07,CUST-0469,Latin America,Basic Support,7,271.25,70.0
TRX-000185,2023-01-20,CUST-0470,Latin America,Basic Support,3,317.93,70.0
TRX-000186,2023-01-12,CUST-0472,Europe,Basic Support,3,301.37,70.0
TRX-000187,2023-01-03,CUST-0473,Asia-Pacific,Premium Maintenance,2,639.71,220.0
TRX-000188,2023-01-11,CUST-0476,,Consulting Service,2,166.25,105.0
TRX-000189,2023-01-23,CUST-0479,North America,Consulting Service,2,192.94,105.0
TRX-000190,2023-01-04,CUST-0479,North America,Enterprise License,5,1242.76,350.0
TRX-000191,2023-01-07,CUST-0480,Latin America,Consulting Service,4,168.02,105.0
TRX-000192,2023-01-09,CUST-0487,Asia-Pacific,Consulting Service,1,163.46,105.0
TRX-000193,2023-01-21,CUST-0488,Europe,Enterprise License,7,1187.03,350.0
TRX-000194,2023-01-05,CUST-0488,Europe,Enterprise License,3,1134.53,350.0
TRX-000195,2023-01-24,CUST-0488,Europe,Consulting Service,6,190.41,105.0
TRX-000196,2023-01-31,CUST-0491,Latin America,Basic Support,5,321.46,70.0
TRX-000197,2023-01-30,CUST-0491,Latin America,Enterprise License,3,1109.76,350.0
TRX-000198,2023-01-18,CUST-0491,,Enterprise License,6,1100.95,350.0
TRX-000199,2023-01-17,CUST-0493,Latin America,Consulting Service,1,167.36,105.0
TRX-000200,2023-01-27,CUST-0501,Europe,Enterprise License,4,1206.19,350.0
TRX-000201,2023-01-12,CUST-0504,Asia-Pacific,Premium Maintenance,1,632.37,220.0
TRX-000202,2023-01-07,CUST-0512,Latin America,Enterprise License,3,1283.37,350.0
TRX-000203,2023-01-23,CUST-0512,Latin America,Enterprise License,1,1273.56,350.0
TRX-000204,2023-01-21,CUST-0514,North America,Premium Maintenance,3,606.0,220.0
TRX-000205,2023-01-05,CUST-0518,North America,Enterprise License,6,1233.41,350.0
TRX-000206,2023-01-23,CUST-0527,Asia-Pacific,Consulting Service,2,179.2,105.0
TRX-000207,2023-01-08,CUST-0527,Asia-Pacific,Consulting Service,1,167.22,105.0
TRX-000208,2023-01-25,CUST-0528,Latin America,Enterprise License,2,1191.81,350.0
TRX-000209,2023-01-13,CUST-0528,Latin America,Consulting Service,4,179.16,105.0
TRX-000210,2023-01-06,CUST-0530,Europe,Enterprise License,7,1107.14,350.0
TRX-000211,2023-01-12,CUST-0532,Latin America,Premium Maintenance,4,604.14,220.0
TRX-000212,2023-01-12,CUST-0537,North America,Consulting Service,1,162.97,105.0
TRX-000213,2023-01-03,CUST-0540,North America,Consulting Service,4,181.7,105.0
TRX-000214,2023-01-13,CUST-0540,North America,Premium Maintenance,5,647.23,220.0
TRX-000215,2023-01-26,CUST-0541,North America,Enterprise License,3,1240.19,350.0
TRX-000216,2023-01-26,CUST-0541,North America,Consulting Service,7,166.95,105.0
TRX-000217,2023-01-11,CUST-0541,North America,Basic Support,7,272.71,70.0
TRX-000218,2023-01-20,CUST-0542,Europe,Basic Support,5,310.55,70.0
TRX-000219,2023-01-07,CUST-0542,Europe,Premium Maintenance,7,609.8,220.0
TRX-000220,2023-01-18,CUST-0543,Europe,Basic Support,7,270.12,70.0
TRX-000221,2023-01-25,CUST-0545,Latin America,Enterprise License,1,1178.98,350.0
TRX-000222,2023-01-05,CUST-0546,Latin America,Basic Support,7,291.22,70.0
TRX-000223,2023-01-10,CUST-0547,Europe,Basic Support,5,294.9,70.0
TRX-000224,2023-01-17,CUST-0549,North America,Consulting Service,3,192.78,105.0
TRX-000225,2023-01-19,CUST-0550,North America,Basic Support,1,315.68,70.0
TRX-000226,2023-01-09,CUST-0553,Europe,Premium Maintenance,7,672.71,220.0
TRX-000227,2023-01-12,CUST-0558,Latin America,Basic Support,7,286.33,70.0
TRX-000228,2023-01-28,CUST-0560,Asia-Pacific,Basic Support,4,291.77,70.0
TRX-000229,2023-01-11,CUST-0561,Asia-Pacific,Basic Support,3,318.98,70.0
TRX-000230,2023-01-21,CUST-0561,Asia-Pacific,Enterprise License,5,1153.95,350.0
TRX-000231,2023-01-04,CUST-0567,Europe,Consulting Service,3,164.97,105.0
TRX-000232,2023-01-21,CUST-0568,Asia-Pacific,Basic Support,7,271.07,70.0
TRX-000233,2023-01-25,CUST-0569,Europe,Enterprise License,6,1265.9,350.0
TRX-000234,2023-01-05,CUST-0578,North America,Enterprise License,6,1139.43,350.0
TRX-000235,2023-01-21,CUST-0581,North America,Consulting Service,6,191.49,105.0
TRX-000236,2023-01-22,CUST-0586,North America,Basic Support,5,321.46,70.0
TRX-000237,2023-01-20,CUST-0592,Asia-Pacific,Consulting Service,6,172.38,105.0
TRX-000238,2023-01-22,CUST-0599,Latin America,Consulting Service,4,162.75,105.0
TRX-000239,2023-01-19,CUST-0600,Europe,Premium Maintenance,2,636.94,220.0
TRX-000240,2023-01-11,CUST-0600,Europe,Premium Maintenance,3,684.92,220.0
TRX-000241,2023-01-26,CUST-0602,Asia-Pacific,Consulting Service,3,182.48,105.0
TRX-000242,2023-01-10,CUST-0603,Europe,Premium Maintenance,6,693.09,220.0
TRX-000243,2023-01-08,CUST-0607,North America,Basic Support,6,311.29,70.0
TRX-000244,2023-01-15,CUST-0607,North America,Enterprise License,5,1178.59,350.0
TRX-000245,2023-01-20,CUST-0607,North America,Enterprise License,3,1219.28,350.0
TRX-000246,2023-01-09,CUST-0608,Europe,Basic Support,2,292.14,70.0
TRX-000247,2023-01-12,CUST-0610,Europe,Premium Maintenance,1,604.62,220.0
TRX-000248,2023-01-11,CUST-0610,Europe,Enterprise License,1,1252.26,350.0
TRX-000249,2023-01-25,CUST-0616,Latin America,Basic Support,1,276.25,70.0
TRX-000250,2023-01-06,CUST-0620,Europe,Consulting Service,1,166.99,105.0
TRX-000251,2023-01-28,CUST-0620,Europe,Consulting Service,7,182.08,105.0
TRX-000252,2023-01-31,CUST-0620,Europe,Consulting Service,7,164.26,105.0
TRX-000253,2023-01-09,CUST-0622,North America,Enterprise License,2,1271.13,350.0
TRX-000254,2023-01-23,CUST-0622,North America,Basic Support,6,276.04,70.0
TRX-000255,2023-01-08,CUST-0623,North America,Consulting Service,4,179.89,105.0
TRX-000256,2023-01-01,CUST-0624,Latin America,Basic Support,7,323.57,70.0
TRX-000257,2023-01-17,CUST-0624,Latin America,Enterprise License,5,1100.56,350.0
TRX-000258,2023-01-10,CUST-0626,Asia-Pacific,Consulting Service,2,176.94,105.0
TRX-000259,2023-01-12,CUST-0626,Asia-Pacific,Consulting Service,5,163.67,105.0
TRX-000260,2023-01-11,CUST-0626,Asia-Pacific,Premium Maintenance,5,677.13,220.0
TRX-000261,2023-01-13,CUST-0629,Latin America,Premium Maintenance,2,622.62,220.0
TRX-000262,2023-01-06,CUST-0629,Latin America,Basic Support,4,313.28,70.0
TRX-000263,2023-01-29,CUST-0652,Europe,Enterprise License,1,1269.88,350.0
TRX-000264,2023-01-05,CUST-0652,Europe,Consulting Service,2,179.3,105.0
TRX-000265,2023-01-01,CUST-0673,North America,Enterprise License,6,1174.24,350.0
TRX-000266,2023-01-21,CUST-0684,Latin America,Consulting Service,3,188.67,105.0
TRX-000267,2023-01-27,CUST-0692,North America,Enterprise License,4,1257.79,350.0
TRX-000268,2023-01-03,CUST-0699,Asia-Pacific,Enterprise License,4,1165.21,350.0
TRX-000269,2023-01-11,CUST-0699,Asia-Pacific,Basic Support,6,283.9,70.0
TRX-000270,2023-01-10,CUST-0707,Asia-Pacific,Premium Maintenance,3,639.37,220.0
TRX-000271,2023-01-30,CUST-0709,Asia-Pacific,Enterprise License,1,1242.32,350.0
TRX-000272,2023-01-02,CUST-0710,Europe,Enterprise License,6,1117.87,350.0
TRX-000273,2023-01-31,CUST-0711,Asia-Pacific,Premium Maintenance,5,601.05,220.0
TRX-000274,2023-01-30,CUST-0713,Latin America,Consulting Service,7,190.35,105.0
TRX-000275,2023-01-15,CUST-0714,Europe,Enterprise License,5,1127.69,350.0
TRX-000276,2023-01-09,CUST-0714,Europe,Premium Maintenance,1,670.96,220.0
TRX-000277,2023-01-26,CUST-0717,Asia-Pacific,Consulting Service,4,185.02,105.0
TRX-000278,2023-01-19,CUST-0720,North America,Premium Maintenance,5,641.88,220.0
TRX-000279,2023-01-24,CUST-0723,Europe,Consulting Service,3,188.78,105.0
TRX-000280,2023-01-09,CUST-0724,Asia-Pacific,Premium Maintenance,2,646.06,220.0
TRX-000281,2023-01-21,CUST-0727,Europe,Basic Support,3,273.57,70.0
TRX-000282,2023-01-28,CUST-0730,North America,Basic Support,6,304.9,70.0
TRX-000283,2023-01-15,CUST-0739,North America,Enterprise License,6,1182.84,350.0
TRX-000284,2023-01-11,CUST-0739,North America,Premium Maintenance,2,591.96,220.0
TRX-000285,2023-01-01,CUST-0744,Europe,Enterprise License,2,1226.78,350.0
TRX-000286,2023-01-17,CUST-0745,Europe,Enterprise License,2,1171.31,350.0
TRX-000287,2023-01-11,CUST-0746,Asia-Pacific,Premium Maintenance,3,622.49,220.0
TRX-000288,2023-01-29,CUST-0751,Asia-Pacific,Consulting Service,5,170.58,105.0
TRX-000289,2023-01-22,CUST-0753,Latin America,Premium Maintenance,1,693.77,220.0
TRX-000290,2023-01-13,CUST-0761,North America,Enterprise License,1,1213.83,350.0
TRX-000291,2023-01-22,CUST-0764,Latin America,Premium Maintenance,4,680.92,220.0
TRX-000292,2023-01-31,CUST-0764,Latin America,Enterprise License,2,1089.54,350.0
TRX-000293,2023-01-30,CUST-0765,Europe,Consulting Service,7,180.69,105.0
TRX-000294,2023-01-31,CUST-0768,Latin America,Premium Maintenance,4,643.34,220.0
TRX-000295,2023-01-12,CUST-0772,Europe,Premium Maintenance,6,631.51,220.0
TRX-000296,2023-01-21,CUST-0772,Europe,Basic Support,3,276.91,70.0
TRX-000297,2023-01-06,CUST-0772,,Enterprise License,6,1102.31,350.0
TRX-000298,2023-01-12,CUST-0773,Latin America,Basic Support,4,292.07,70.0
TRX-000299,2023-01-29,CUST-0775,,Consulting Service,6,192.22,105.0
TRX-000300,2023-01-14,CUST-0779,Europe,Consulting Service,3,180.4,105.0
TRX-000301,2023-01-18,CUST-0786,Europe,Consulting Service,7,172.39,105.0
TRX-000302,2023-01-03,CUST-0792,Europe,Basic Support,4,278.97,70.0
TRX-000303,2023-01-07,CUST-0793,Asia-Pacific,Premium Maintenance,6,650.83,220.0
TRX-000304,2023-01-26,CUST-0795,Latin America,Basic Support,2,320.09,70.0
TRX-000305,2023-01-02,CUST-0796,Asia-Pacific,Premium Maintenance,6,695.63,220.0
TRX-000306,2023-01-18,CUST-0798,Europe,Premium Maintenance,5,585.54,220.0
TRX-000307,2023-01-29,CUST-0798,Europe,Enterprise License,4,1226.97,350.0
TRX-000308,2023-02-25,CUST-0006,Europe,Enterprise License,4,1295.75,350.0
TRX-000309,2023-02-26,CUST-0018,Asia-Pacific,Premium Maintenance,3,677.6,220.0
TRX-000310,2023-02-20,CUST-0018,Asia-Pacific,Consulting Service,1,164.63,105.0
TRX-000311,2023-02-13,CUST-0023,Europe,Consulting Service,4,175.2,105.0
TRX-000312,2023-02-20,CUST-0026,Asia-Pacific,Premium Maintenance,2,597.71,220.0
TRX-000313,2023-02-19,CUST-0028,North America,Premium Maintenance,7,701.39,220.0
TRX-000314,2023-02-25,CUST-0028,North America,Enterprise License,1,1147.9,350.0
TRX-000315,2023-02-17,CUST-0040,Europe,Premium Maintenance,4,694.84,220.0
TRX-000316,2023-02-09,CUST-0043,Europe,Basic Support,2,279.17,70.0
TRX-000317,2023-02-27,CUST-0050,North America,Basic Support,1,291.76,70.0
TRX-000318,2023-02-06,CUST-0051,Latin America,Basic Support,2,279.47,70.0
TRX-000319,2023-02-26,CUST-0051,Latin America,Premium Maintenance,7,615.97,220.0
