Transaction_ID,Date,Customer_ID,Region,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Month
TRX-000135,2023-01-07,CUST-0349,Europe,Basic Support,5,310.09,70.0,1550.4499999999998,350.0,1200.4499999999998,2023-01
TRX-000184,2023-01-07,CUST-0469,Latin America,Basic Support,7,271.25,70.0,1898.75,490.0,1408.75,2023-01
TRX-000191,2023-01-07,CUST-0480,Latin America,Consulting Service,4,168.02,105.0,672.08,420.0,252.08000000000004,2023-01
TRX-000202,2023-01-07,CUST-0512,Latin America,Enterprise License,3,1283.37,350.0,3850.1099999999997,1050.0,2800.1099999999997,2023-01
TRX-000219,2023-01-07,CUST-0542,Europe,Premium Maintenance,7,609.8,220.0,4268.599999999999,1540.0,2728.5999999999995,2023-01
TRX-000303,2023-01-07,CUST-0793,Asia-Pacific,Premium Maintenance,6,650.83,220.0,3904.9800000000005,1320.0,2584.9800000000005,2023-01
TRX-000007,2023-01-08,CUST-0028,Latin America,Consulting Service,6,179.2,105.0,1075.1999999999998,630.0,445.1999999999998,2023-01
TRX-000018,2023-01-08,CUST-0064,Europe,Enterprise License,2,1131.14,350.0,2262.28,700.0,1562.2800000000002,2023-01
TRX-000026,2023-01-08,CUST-0085,Europe,Basic Support,4,289.85,70.0,1159.4,280.0,879.4000000000001,2023-01
TRX-000114,2023-01-08,CUST-0307,Latin America,Consulting Service,3,193.68,105.0,581.04,315.0,266.03999999999996,2023-01
TRX-000147,2023-01-08,CUST-0380,Latin America,Consulting Service,3,174.77,105.0,524.3100000000001,315.0,209.31000000000006,2023-01
TRX-000150,2023-01-08,CUST-0386,Europe,Premium Maintenance,3,615.46,220.0,1846.38,660.0,1186.38,2023-01
TRX-000151,2023-01-08,CUST-0386,Europe,Basic Support,7,295.91,70.0,2071.3700000000003,490.0,1581.3700000000003,2023-01
TRX-000172,2023-01-08,CUST-0438,North America,Enterprise License,6,1268.76,350.0,7612.5599999999995,2100.0,5512.5599999999995,2023-01
TRX-000207,2023-01-08,CUST-0527,Asia-Pacific,Consulting Service,1,167.22,105.0,167.22,105.0,62.22,2023-01
TRX-000243,2023-01-08,CUST-0607,North America,Basic Support,6,311.29,70.0,1867.7400000000002,420.0,1447.7400000000002,2023-01
TRX-000255,2023-01-08,CUST-0623,North America,Consulting Service,4,179.89,105.0,719.56,420.0,299.55999999999995,2023-01
TRX-000010,2023-01-09,CUST-0043,Europe,Consulting Service,2,170.03,105.0,340.06,210.0,130.06,2023-01
TRX-000025,2023-01-09,CUST-0081,Europe,Enterprise License,4,1110.19,350.0,4440.76,1400.0,3040.76,2023-01
TRX-000031,2023-01-09,CUST-0096,Asia-Pacific,Enterprise License,1,1238.74,350.0,1238.74,350.0,888.74,2023-01
TRX-000116,2023-01-09,CUST-0307,Latin America,Basic Support,7,313.31,70.0,2193.17,490.0,1703.17,2023-01
TRX-000125,2023-01-09,CUST-0319,Latin America,Enterprise License,7,1271.5,350.0,8900.5,2450.0,6450.5,2023-01
TRX-000170,2023-01-09,CUST-0433,Asia-Pacific,Enterprise License,4,1090.91,350.0,4363.64,1400.0,2963.6400000000003,2023-01
TRX-000192,2023-01-09,CUST-0487,Asia-Pacific,Consulting Service,1,163.46,105.0,163.46,105.0,58.46000000000001,2023-01
TRX-000226,2023-01-09,CUST-0553,Europe,Premium Maintenance,7,672.71,220.0,4708.97,1540.0,3168.9700000000003,2023-01
TRX-000246,2023-01-09,CUST-0608,Europe,Basic Support,2,292.14,70.0,584.28,140.0,444.28,2023-01
TRX-000253,2023-01-09,CUST-0622,North America,Enterprise License,2,1271.13,350.0,2542.26,700.0,1842.2600000000002,2023-01
TRX-000276,2023-01-09,CUST-0714,Europe,Premium Maintenance,1,670.96,220.0,670.96,220.0,450.96000000000004,2023-01
TRX-000280,2023-01-09,CUST-0724,Asia-Pacific,Premium Maintenance,2,646.06,220.0,1292.12,440.0,852.1199999999999,2023-01
TRX-000043,2023-01-10,CUST-0124,Latin America,Consulting Service,2,172.19,105.0,344.38,210.0,134.38,2023-01
TRX-000050,2023-01-10,CUST-0150,Europe,Consulting Service,4,176.86,105.0,707.44,420.0,287.44000000000005,2023-01
TRX-000051,2023-01-10,CUST-0150,Europe,Enterprise License,6,1278.38,350.0,7670.280000000001,2100.0,5570.280000000001,2023-01
TRX-000087,2023-01-10,CUST-0251,Latin America,Consulting Service,2,184.28,105.0,368.56,210.0,158.56,2023-01
TRX-000105,2023-01-10,CUST-0293,Latin America,Consulting Service,4,181.39,105.0,725.56,420.0,305.55999999999995,2023-01
TRX-000127,2023-01-10,CUST-0325,Latin America,Basic Support,4,292.03,70.0,1168.12,280.0,888.1199999999999,2023-01
TRX-000158,2023-01-10,CUST-0400,North America,Premium Maintenance,2,685.09,220.0,1370.18,440.0,930.1800000000001,2023-01
TRX-000223,2023-01-10,CUST-0547,Europe,Basic Support,5,294.9,70.0,1474.5,350.0,1124.5,2023-01
TRX-000242,2023-01-10,CUST-0603,Europe,Premium Maintenance,6,693.09,220.0,4158.54,1320.0,2838.54,2023-01
TRX-000258,2023-01-10,CUST-0626,Asia-Pacific,Consulting Service,2,176.94,105.0,353.88,210.0,143.88,2023-01
TRX-000270,2023-01-10,CUST-0707,Asia-Pacific,Premium Maintenance,3,639.37,220.0,1918.1100000000001,660.0,1258.1100000000001,2023-01
TRX-000077,2023-01-11,CUST-0231,Asia-Pacific,Consulting Service,4,187.51,105.0,750.04,420.0,330.03999999999996,2023-01
TRX-000101,2023-01-11,CUST-0287,Asia-Pacific,Consulting Service,6,178.16,105.0,1068.96,630.0,438.96000000000004,2023-01
TRX-000112,2023-01-11,CUST-0306,North America,Basic Support,3,276.69,70.0,830.0699999999999,210.0,620.0699999999999,2023-01
TRX-000126,2023-01-11,CUST-0320,North America,Basic Support,3,308.75,70.0,926.25,210.0,716.25,2023-01
TRX-000131,2023-01-11,CUST-0332,Europe,Consulting Service,2,164.18,105.0,328.36,210.0,118.36000000000001,2023-01
TRX-000152,2023-01-11,CUST-0388,Asia-Pacific,Basic Support,4,320.24,70.0,1280.96,280.0,1000.96,2023-01
TRX-000179,2023-01-11,CUST-0461,Latin America,Premium Maintenance,4,609.82,220.0,2439.28,880.0,1559.2800000000002,2023-01
TRX-000188,2023-01-11,CUST-0476,Unknown,Consulting Service,2,166.25,105.0,332.5,210.0,122.5,2023-01
TRX-000217,2023-01-11,CUST-0541,North America,Basic Support,7,272.71,70.0,1908.9699999999998,490.0,1418.9699999999998,2023-01
TRX-000229,2023-01-11,CUST-0561,Asia-Pacific,Basic Support,3,318.98,70.0,956.94,210.0,746.94,2023-01
TRX-000240,2023-01-11,CUST-0600,Europe,Premium Maintenance,3,684.92,220.0,2054.7599999999998,660.0,1394.7599999999998,2023-01
TRX-000248,2023-01-11,CUST-0610,Europe,Enterprise License,1,1252.26,350.0,1252.26,350.0,902.26,2023-01
TRX-000260,2023-01-11,CUST-0626,Asia-Pacific,Premium Maintenance,5,677.13,220.0,3385.65,1100.0,2285.65,2023-01
TRX-000269,2023-01-11,CUST-0699,Asia-Pacific,Basic Support,6,283.9,70.0,1703.3999999999999,420.0,1283.3999999999999,2023-01
TRX-000284,2023-01-11,CUST-0739,North America,Premium Maintenance,2,591.96,220.0,1183.92,440.0,743.9200000000001,2023-01
TRX-000287,2023-01-11,CUST-0746,Asia-Pacific,Premium Maintenance,3,622.49,220.0,1867.47,660.0,1207.47,2023-01
TRX-000027,2023-01-12,CUST-0092,Europe,Consulting Service,2,184.22,105.0,368.44,210.0,158.44,2023-01
TRX-000045,2023-01-12,CUST-0128,North America,Basic Support,6,320.55,70.0,1923.3000000000002,420.0,1503.3000000000002,2023-01
TRX-000066,2023-01-12,CUST-0207,Europe,Basic Support,1,279.35,70.0,279.35,70.0,209.35000000000002,2023-01
TRX-000085,2023-01-12,CUST-0245,Latin America,Consulting Service,2,166.98,105.0,333.96,210.0,123.95999999999998,2023-01
TRX-000086,2023-01-12,CUST-0250,Asia-Pacific,Basic Support,1,321.76,70.0,321.76,70.0,251.76,2023-01
TRX-000160,2023-01-12,CUST-0402,Asia-Pacific,Enterprise License,2,1255.64,350.0,2511.28,700.0,1811.2800000000002,2023-01
TRX-000186,2023-01-12,CUST-0472,Europe,Basic Support,3,301.37,70.0,904.11,210.0,694.11,2023-01
TRX-000201,2023-01-12,CUST-0504,Asia-Pacific,Premium Maintenance,1,632.37,220.0,632.37,220.0,412.37,2023-01
TRX-000211,2023-01-12,CUST-0532,Latin America,Premium Maintenance,4,604.14,220.0,2416.56,880.0,1536.56,2023-01
TRX-000212,2023-01-12,CUST-0537,North America,Consulting Service,1,162.97,105.0,162.97,105.0,57.97,2023-01
TRX-000227,2023-01-12,CUST-0558,Latin America,Basic Support,7,286.33,70.0,2004.31,490.0,1514.31,2023-01
TRX-000247,2023-01-12,CUST-0610,Europe,Premium Maintenance,1,604.62,220.0,604.62,220.0,384.62,2023-01
TRX-000259,2023-01-12,CUST-0626,Asia-Pacific,Consulting Service,5,163.67,105.0,818.3499999999999,525.0,293.3499999999999,2023-01
TRX-000295,2023-01-12,CUST-0772,Europe,Premium Maintenance,6,631.51,220.0,3789.06,1320.0,2469.06,2023-01
TRX-000298,2023-01-12,CUST-0773,Latin America,Basic Support,4,292.07,70.0,1168.28,280.0,888.28,2023-01
TRX-000016,2023-01-13,CUST-0057,Asia-Pacific,Premium Maintenance,7,622.2,220.0,4355.400000000001,1540.0,2815.4000000000005,2023-01
TRX-000092,2023-01-13,CUST-0262,Latin America,Premium Maintenance,6,594.37,220.0,3566.2200000000003,1320.0,2246.2200000000003,2023-01
TRX-000110,2023-01-13,CUST-0305,Asia-Pacific,Basic Support,7,305.32,70.0,2137.24,490.0,1647.2399999999998,2023-01
TRX-000149,2023-01-13,CUST-0382,Europe,Consulting Service,4,172.79,105.0,691.16,420.0,271.15999999999997,2023-01
TRX-000168,2023-01-13,CUST-0427,Asia-Pacific,Premium Maintenance,1,653.4,220.0,653.4,220.0,433.4,2023-01
TRX-000209,2023-01-13,CUST-0528,Latin America,Consulting Service,4,179.16,105.0,716.64,420.0,296.64,2023-01
TRX-000214,2023-01-13,CUST-0540,North America,Premium Maintenance,5,647.23,220.0,3236.15,1100.0,2136.15,2023-01
TRX-000261,2023-01-13,CUST-0629,Latin America,Premium Maintenance,2,622.62,220.0,1245.24,440.0,805.24,2023-01
TRX-000290,2023-01-13,CUST-0761,North America,Enterprise License,1,1213.83,350.0,1213.83,350.0,863.8299999999999,2023-01
TRX-000062,2023-01-14,CUST-0200,Asia-Pacific,Basic Support,2,315.96,70.0,631.92,140.0,491.91999999999996,2023-01
TRX-000070,2023-01-14,CUST-0209,Asia-Pacific,Basic Support,7,305.06,70.0,2135.42,490.0,1645.42,2023-01
TRX-000124,2023-01-14,CUST-0319,Latin America,Consulting Service,3,181.13,105.0,543.39,315.0,228.39,2023-01
TRX-000141,2023-01-14,CUST-0358,Latin America,Basic Support,5,275.5,70.0,1377.5,350.0,1027.5,2023-01
TRX-000176,2023-01-14,CUST-0451,North America,Premium Maintenance,3,645.87,220.0,1937.6100000000001,660.0,1277.6100000000001,2023-01
TRX-000300,2023-01-14,CUST-0779,Europe,Consulting Service,3,180.4,105.0,541.2,315.0,226.20000000000005,2023-01
TRX-000038,2023-01-15,CUST-0111,Asia-Pacific,Consulting Service,6,178.93,105.0,1073.58,630.0,443.5799999999999,2023-01
TRX-000046,2023-01-15,CUST-0128,North America,Basic Support,5,290.32,70.0,1451.6,350.0,1101.6,2023-01
TRX-000055,2023-01-15,CUST-0171,Latin America,Enterprise License,2,1132.02,350.0,2264.04,700.0,1564.04,2023-01
TRX-000089,2023-01-15,CUST-0254,Asia-Pacific,Enterprise License,2,1193.42,350.0,2386.84,700.0,1686.8400000000001,2023-01
TRX-000093,2023-01-15,CUST-0265,Latin America,Consulting Service,3,166.88,105.0,500.64,315.0,185.64,2023-01
TRX-000107,2023-01-15,CUST-0301,Latin America,Premium Maintenance,5,674.09,220.0,3370.4500000000003,1100.0,2270.4500000000003,2023-01
TRX-000244,2023-01-15,CUST-0607,North America,Enterprise License,5,1178.59,350.0,5892.95,1750.0,4142.95,2023-01
TRX-000275,2023-01-15,CUST-0714,Europe,Enterprise License,5,1127.69,350.0,5638.450000000001,1750.0,3888.4500000000007,2023-01
TRX-000283,2023-01-15,CUST-0739,North America,Enterprise License,6,1182.84,350.0,7097.039999999999,2100.0,4997.039999999999,2023-01
TRX-000001,2023-01-16,CUST-0006,Europe,Enterprise License,3,1223.18,350.0,3669.54,1050.0,2619.54,2023-01
TRX-000039,2023-01-16,CUST-0117,Latin America,Basic Support,1,302.38,70.0,302.38,70.0,232.38,2023-01
TRX-000081,2023-01-16,CUST-0240,Europe,Consulting Service,1,165.75,105.0,165.75,105.0,60.75,2023-01
TRX-000091,2023-01-16,CUST-0262,Latin America,Premium Maintenance,4,601.57,220.0,2406.28,880.0,1526.2800000000002,2023-01
TRX-000100,2023-01-16,CUST-0281,Europe,Consulting Service,3,191.47,105.0,574.41,315.0,259.40999999999997,2023-01
TRX-000109,2023-01-16,CUST-0303,Latin America,Premium Maintenance,6,598.35,220.0,3590.1000000000004,1320.0,2270.1000000000004,2023-01
TRX-000130,2023-01-16,CUST-0332,Europe,Enterprise License,1,1109.02,350.0,1109.02,350.0,759.02,2023-01
TRX-000133,2023-01-16,CUST-0341,Latin America,Premium Maintenance,4,672.98,220.0,2691.92,880.0,1811.92,2023-01
TRX-000069,2023-01-17,CUST-0208,Europe,Enterprise License,3,1284.34,350.0,3853.0199999999995,1050.0,2803.0199999999995,2023-01
TRX-000076,2023-01-17,CUST-0224,Europe,Basic Support,5,307.91,70.0,1539.5500000000002,350.0,1189.5500000000002,2023-01
TRX-000080,2023-01-17,CUST-0236,Asia-Pacific,Basic Support,2,313.19,70.0,626.38,140.0,486.38,2023-01
TRX-000123,2023-01-17,CUST-0317,Europe,Enterprise License,3,1264.2,350.0,3792.6000000000004,1050.0,2742.6000000000004,2023-01
TRX-000199,2023-01-17,CUST-0493,Latin America,Consulting Service,1,167.36,105.0,167.36,105.0,62.360000000000014,2023-01
TRX-000224,2023-01-17,CUST-0549,North America,Consulting Service,3,192.78,105.0,578.34,315.0,263.34000000000003,2023-01
TRX-000257,2023-01-17,CUST-0624,Latin America,Enterprise License,5,1100.56,350.0,5502.799999999999,1750.0,3752.7999999999993,2023-01
TRX-000286,2023-01-17,CUST-0745,Europe,Enterprise License,2,1171.31,350.0,2342.62,700.0,1642.62,2023-01
TRX-000134,2023-01-18,CUST-0342,Europe,Premium Maintenance,3,612.51,220.0,1837.53,660.0,1177.53,2023-01
TRX-000144,2023-01-18,CUST-0360,Latin America,Enterprise License,1,1133.15,350.0,1133.15,350.0,783.1500000000001,2023-01
TRX-000173,2023-01-18,CUST-0443,Europe,Enterprise License,6,1165.57,350.0,6993.42,2100.0,4893.42,2023-01
TRX-000174,2023-01-18,CUST-0450,Asia-Pacific,Premium Maintenance,6,673.74,220.0,4042.44,1320.0,2722.44,2023-01
TRX-000198,2023-01-18,CUST-0491,Unknown,Enterprise License,6,1100.95,350.0,6605.700000000001,2100.0,4505.700000000001,2023-01
TRX-000220,2023-01-18,CUST-0543,Europe,Basic Support,7,270.12,70.0,1890.8400000000001,490.0,1400.8400000000001,2023-01
TRX-000301,2023-01-18,CUST-0786,Europe,Consulting Service,7,172.39,105.0,1206.73,735.0,471.73,2023-01
TRX-000306,2023-01-18,CUST-0798,Europe,Premium Maintenance,5,585.54,220.0,2927.7,1100.0,1827.6999999999998,2023-01
TRX-000004,2023-01-19,CUST-0026,Europe,Enterprise License,6,1281.53,350.0,7689.18,2100.0,5589.18,2023-01
TRX-000012,2023-01-19,CUST-0050,North America,Consulting Service,2,166.74,105.0,333.48,210.0,123.48000000000002,2023-01
TRX-000074,2023-01-19,CUST-0218,Latin America,Enterprise License,3,1207.07,350.0,3621.21,1050.0,2571.21,2023-01
TRX-000156,2023-01-19,CUST-0396,North America,Enterprise License,4,1263.48,350.0,5053.92,1400.0,3653.92,2023-01
TRX-000161,2023-01-19,CUST-0408,Europe,Enterprise License,4,1126.73,350.0,4506.92,1400.0,3106.92,2023-01
TRX-000225,2023-01-19,CUST-0550,North America,Basic Support,1,315.68,70.0,315.68,70.0,245.68,2023-01
TRX-000239,2023-01-19,CUST-0600,Europe,Premium Maintenance,2,636.94,220.0,1273.88,440.0,833.8800000000001,2023-01
TRX-000278,2023-01-19,CUST-0720,North America,Premium Maintenance,5,641.88,220.0,3209.4,1100.0,2109.4,2023-01
TRX-000005,2023-01-20,CUST-0026,Europe,Premium Maintenance,6,639.68,220.0,3838.08,1320.0,2518.08,2023-01
TRX-000033,2023-01-20,CUST-0098,North America,Basic Support,6,275.14,70.0,1650.84,420.0,1230.84,2023-01
TRX-000037,2023-01-20,CUST-0107,Asia-Pacific,Basic Support,1,279.25,70.0,279.25,70.0,209.25,2023-01
TRX-000054,2023-01-20,CUST-0163,Europe,Basic Support,1,305.11,70.0,305.11,70.0,235.11,2023-01
TRX-000068,2023-01-20,CUST-0208,Europe,Consulting Service,4,180.55,105.0,722.2,420.0,302.20000000000005,2023-01
TRX-000157,2023-01-20,CUST-0400,North America,Basic Support,7,278.79,70.0,1951.5300000000002,490.0,1461.5300000000002,2023-01
TRX-000185,2023-01-20,CUST-0470,Latin America,Basic Support,3,317.93,70.0,953.79,210.0,743.79,2023-01
TRX-000218,2023-01-20,CUST-0542,Europe,Basic Support,5,310.55,70.0,1552.75,350.0,1202.75,2023-01
TRX-000237,2023-01-20,CUST-0592,Asia-Pacific,Consulting Service,6,172.38,105.0,1034.28,630.0,404.28,2023-01
TRX-000245,2023-01-20,CUST-0607,North America,Enterprise License,3,1219.28,350.0,3657.84,1050.0,2607.84,2023-01
TRX-000030,2023-01-21,CUST-0094,Europe,Consulting Service,4,188.06,105.0,752.24,420.0,332.24,2023-01
TRX-000136,2023-01-21,CUST-0349,Europe,Basic Support,6,286.17,70.0,1717.02,420.0,1297.02,2023-01
TRX-000171,2023-01-21,CUST-0437,Asia-Pacific,Consulting Service,2,189.09,105.0,378.18,210.0,168.18,2023-01
TRX-000193,2023-01-21,CUST-0488,Europe,Enterprise License,7,1187.03,350.0,8309.21,2450.0,5859.209999999999,2023-01
TRX-000204,2023-01-21,CUST-0514,North America,Premium Maintenance,3,606.0,220.0,1818.0,660.0,1158.0,2023-01
TRX-000230,2023-01-21,CUST-0561,Asia-Pacific,Enterprise License,5,1153.95,350.0,5769.75,1750.0,4019.75,2023-01
TRX-000232,2023-01-21,CUST-0568,Asia-Pacific,Basic Support,7,271.07,70.0,1897.49,490.0,1407.49,2023-01
TRX-000235,2023-01-21,CUST-0581,North America,Consulting Service,6,191.49,105.0,1148.94,630.0,518.94,2023-01
TRX-000266,2023-01-21,CUST-0684,Latin America,Consulting Service,3,188.67,105.0,566.01,315.0,251.01,2023-01
TRX-000281,2023-01-21,CUST-0727,Europe,Basic Support,3,273.57,70.0,820.71,210.0,610.71,2023-01
TRX-000296,2023-01-21,CUST-0772,Europe,Basic Support,3,276.91,70.0,830.73,210.0,620.73,2023-01
TRX-000061,2023-01-22,CUST-0195,Latin America,Enterprise License,4,1106.98,350.0,4427.92,1400.0,3027.92,2023-01
TRX-000084,2023-01-22,CUST-0245,Latin America,Enterprise License,6,1258.67,350.0,7552.02,2100.0,5452.02,2023-01
TRX-000099,2023-01-22,CUST-0281,Europe,Consulting Service,6,186.9,105.0,1121.4,630.0,491.4000000000001,2023-01
TRX-000106,2023-01-22,CUST-0296,North America,Enterprise License,5,1216.89,350.0,6084.450000000001,1750.0,4334.450000000001,2023-01
TRX-000122,2023-01-22,CUST-0315,Asia-Pacific,Enterprise License,7,1166.69,350.0,8166.83,2450.0,5716.83,2023-01
TRX-000129,2023-01-22,CUST-0325,Latin America,Premium Maintenance,1,654.64,220.0,654.64,220.0,434.64,2023-01
TRX-000163,2023-01-22,CUST-0411,Asia-Pacific,Consulting Service,2,162.62,105.0,325.24,210.0,115.24000000000001,2023-01
TRX-000166,2023-01-22,CUST-0419,North America,Basic Support,6,279.34,70.0,1676.04,420.0,1256.04,2023-01
TRX-000178,2023-01-22,CUST-0458,Europe,Premium Maintenance,2,605.88,220.0,1211.76,440.0,771.76,2023-01
TRX-000236,2023-01-22,CUST-0586,North America,Basic Support,5,321.46,70.0,1607.3,350.0,1257.3,2023-01
TRX-000238,2023-01-22,CUST-0599,Latin America,Consulting Service,4,162.75,105.0,651.0,420.0,231.0,2023-01
TRX-000289,2023-01-22,CUST-0753,Latin America,Premium Maintenance,1,693.77,220.0,693.77,220.0,473.77,2023-01
TRX-000291,2023-01-22,CUST-0764,Latin America,Premium Maintenance,4,680.92,220.0,2723.68,880.0,1843.6799999999998,2023-01
TRX-000044,2023-01-23,CUST-0125,North America,Premium Maintenance,3,636.23,220.0,1908.69,660.0,1248.69,2023-01
TRX-000063,2023-01-23,CUST-0200,Asia-Pacific,Premium Maintenance,1,607.59,220.0,607.59,220.0,387.59000000000003,2023-01
